"","DateTime","PR.ABVI..BHZ.M"
"1",2010-01-12 21:00:00,-1207.9
"2",2010-01-12 21:00:01,1041.85
"3",2010-01-12 21:00:02,1267
"4",2010-01-12 21:00:03,-954.55
"5",2010-01-12 21:00:04,162.85
"6",2010-01-12 21:00:05,1147.1
"7",2010-01-12 21:00:06,507.05
"8",2010-01-12 21:00:07,-209.05
"9",2010-01-12 21:00:08,211.15
"10",2010-01-12 21:00:09,126.25
"11",2010-01-12 21:00:10,723.7
"12",2010-01-12 21:00:11,189.8
"13",2010-01-12 21:00:12,857.6
"14",2010-01-12 21:00:13,-698.55
"15",2010-01-12 21:00:14,401.35
"16",2010-01-12 21:00:15,931.05
"17",2010-01-12 21:00:16,687.6
"18",2010-01-12 21:00:17,-816.65
"19",2010-01-12 21:00:18,123.1
"20",2010-01-12 21:00:19,929.05
"21",2010-01-12 21:00:20,1302.3
"22",2010-01-12 21:00:21,-864.85
"23",2010-01-12 21:00:22,-419.4
"24",2010-01-12 21:00:23,869.9
"25",2010-01-12 21:00:24,1273.05
"26",2010-01-12 21:00:25,99.25
"27",2010-01-12 21:00:26,-986.15
"28",2010-01-12 21:00:27,652.85
"29",2010-01-12 21:00:28,1166.7
"30",2010-01-12 21:00:29,80.35
"31",2010-01-12 21:00:30,61.2
"32",2010-01-12 21:00:31,-487.2
"33",2010-01-12 21:00:32,1057.6
"34",2010-01-12 21:00:33,1378.45
"35",2010-01-12 21:00:34,-655.15
"36",2010-01-12 21:00:35,-818.5
"37",2010-01-12 21:00:36,846.55
"38",2010-01-12 21:00:37,1951.95
"39",2010-01-12 21:00:38,-1447.25
"40",2010-01-12 21:00:39,351.05
"41",2010-01-12 21:00:40,1077.25
"42",2010-01-12 21:00:41,507.75
"43",2010-01-12 21:00:42,-179.45
"44",2010-01-12 21:00:43,-704.75
"45",2010-01-12 21:00:44,677.45
"46",2010-01-12 21:00:45,1825.3
"47",2010-01-12 21:00:46,-344.6
"48",2010-01-12 21:00:47,-572.7
"49",2010-01-12 21:00:48,171.8
"50",2010-01-12 21:00:49,1313.8
"51",2010-01-12 21:00:50,247.4
"52",2010-01-12 21:00:51,-167.25
"53",2010-01-12 21:00:52,173.35
"54",2010-01-12 21:00:53,201
"55",2010-01-12 21:00:54,1121.65
"56",2010-01-12 21:00:55,-215.95
"57",2010-01-12 21:00:56,-250.1
"58",2010-01-12 21:00:57,741.6
"59",2010-01-12 21:00:58,876
"60",2010-01-12 21:00:59,-323.65
"61",2010-01-12 21:01:00,389.55
"62",2010-01-12 21:01:01,292.1
"63",2010-01-12 21:01:02,158.65
"64",2010-01-12 21:01:03,366.9
"65",2010-01-12 21:01:04,-26.6
"66",2010-01-12 21:01:05,880.45
"67",2010-01-12 21:01:06,657.95
"68",2010-01-12 21:01:07,-598.9
"69",2010-01-12 21:01:08,76.05
"70",2010-01-12 21:01:09,1139.6
"71",2010-01-12 21:01:10,248.6
"72",2010-01-12 21:01:11,-243.9
"73",2010-01-12 21:01:12,163
"74",2010-01-12 21:01:13,858.3
"75",2010-01-12 21:01:14,622.2
"76",2010-01-12 21:01:15,-454.55
"77",2010-01-12 21:01:16,238.75
"78",2010-01-12 21:01:17,845.9
"79",2010-01-12 21:01:18,-520.2
"80",2010-01-12 21:01:19,664.7
"81",2010-01-12 21:01:20,1197.1
"82",2010-01-12 21:01:21,-555.1
"83",2010-01-12 21:01:22,-205.35
"84",2010-01-12 21:01:23,626.65
"85",2010-01-12 21:01:24,594.75
"86",2010-01-12 21:01:25,434.5
"87",2010-01-12 21:01:26,702.15
"88",2010-01-12 21:01:27,-713.2
"89",2010-01-12 21:01:28,-224.85
"90",2010-01-12 21:01:29,1476.4
"91",2010-01-12 21:01:30,959.65
"92",2010-01-12 21:01:31,-984.45
"93",2010-01-12 21:01:32,-124.15
"94",2010-01-12 21:01:33,716.7
"95",2010-01-12 21:01:34,1400.4
"96",2010-01-12 21:01:35,-372.8
"97",2010-01-12 21:01:36,-405.05
"98",2010-01-12 21:01:37,581.45
"99",2010-01-12 21:01:38,730.1
"100",2010-01-12 21:01:39,115.75
"101",2010-01-12 21:01:40,636.15
"102",2010-01-12 21:01:41,-603.45
"103",2010-01-12 21:01:42,399.9
"104",2010-01-12 21:01:43,1127.25
"105",2010-01-12 21:01:44,215.4
"106",2010-01-12 21:01:45,-634.75
"107",2010-01-12 21:01:46,1126.25
"108",2010-01-12 21:01:47,54.15
"109",2010-01-12 21:01:48,238.368421052632
