"","DateTime","PR.AGPR..BHZ.M"
"1",2010-01-12 21:00:00,2281.75
"2",2010-01-12 21:00:01,1032.55
"3",2010-01-12 21:00:02,1846.15
"4",2010-01-12 21:00:03,1759.75
"5",2010-01-12 21:00:04,1702.55
"6",2010-01-12 21:00:05,2025.4
"7",2010-01-12 21:00:06,919.8
"8",2010-01-12 21:00:07,1853.45
"9",2010-01-12 21:00:08,2530.45
"10",2010-01-12 21:00:09,1020.35
"11",2010-01-12 21:00:10,1633
"12",2010-01-12 21:00:11,873.95
"13",2010-01-12 21:00:12,3159.25
"14",2010-01-12 21:00:13,1207.15
"15",2010-01-12 21:00:14,1179.4
"16",2010-01-12 21:00:15,1359.55
"17",2010-01-12 21:00:16,1556.45
"18",2010-01-12 21:00:17,2171.85
"19",2010-01-12 21:00:18,777.75
"20",2010-01-12 21:00:19,1427.15
"21",2010-01-12 21:00:20,1601.75
"22",2010-01-12 21:00:21,1237.45
"23",2010-01-12 21:00:22,1454.95
"24",2010-01-12 21:00:23,1653.65
"25",2010-01-12 21:00:24,453.2
"26",2010-01-12 21:00:25,1631
"27",2010-01-12 21:00:26,1906.05
"28",2010-01-12 21:00:27,808.85
"29",2010-01-12 21:00:28,739.75
"30",2010-01-12 21:00:29,2147.75
"31",2010-01-12 21:00:30,255.45
"32",2010-01-12 21:00:31,1504.4
"33",2010-01-12 21:00:32,671.95
"34",2010-01-12 21:00:33,1774.85
"35",2010-01-12 21:00:34,579.3
"36",2010-01-12 21:00:35,686.3
"37",2010-01-12 21:00:36,835.65
"38",2010-01-12 21:00:37,608.45
"39",2010-01-12 21:00:38,1387.65
"40",2010-01-12 21:00:39,4.9
"41",2010-01-12 21:00:40,-256.55
"42",2010-01-12 21:00:41,1623.45
"43",2010-01-12 21:00:42,-100.1
"44",2010-01-12 21:00:43,-417.5
"45",2010-01-12 21:00:44,292.9
"46",2010-01-12 21:00:45,495.6
"47",2010-01-12 21:00:46,144.65
"48",2010-01-12 21:00:47,-461.05
"49",2010-01-12 21:00:48,-4.8
"50",2010-01-12 21:00:49,-382.45
"51",2010-01-12 21:00:50,512.4
"52",2010-01-12 21:00:51,-163.2
"53",2010-01-12 21:00:52,-285.65
"54",2010-01-12 21:00:53,-920.5
"55",2010-01-12 21:00:54,-58.65
"56",2010-01-12 21:00:55,217.2
"57",2010-01-12 21:00:56,-159.5
"58",2010-01-12 21:00:57,-390.35
"59",2010-01-12 21:00:58,-691.1
"60",2010-01-12 21:00:59,358.55
"61",2010-01-12 21:01:00,-71.75
"62",2010-01-12 21:01:01,-272.4
"63",2010-01-12 21:01:02,-1258.9
"64",2010-01-12 21:01:03,564.8
"65",2010-01-12 21:01:04,663.2
"66",2010-01-12 21:01:05,-720.2
"67",2010-01-12 21:01:06,-496.25
"68",2010-01-12 21:01:07,-208
"69",2010-01-12 21:01:08,855.7
"70",2010-01-12 21:01:09,-454.85
"71",2010-01-12 21:01:10,327
"72",2010-01-12 21:01:11,-734.5
"73",2010-01-12 21:01:12,340.15
"74",2010-01-12 21:01:13,313.4
"75",2010-01-12 21:01:14,-252.65
"76",2010-01-12 21:01:15,-108.3
"77",2010-01-12 21:01:16,228.8
"78",2010-01-12 21:01:17,-274.5
"79",2010-01-12 21:01:18,-182.65
"80",2010-01-12 21:01:19,1070.3
"81",2010-01-12 21:01:20,-565
"82",2010-01-12 21:01:21,-271.9
"83",2010-01-12 21:01:22,717.9
"84",2010-01-12 21:01:23,335.95
"85",2010-01-12 21:01:24,64.7
"86",2010-01-12 21:01:25,-140.85
"87",2010-01-12 21:01:26,481.85
"88",2010-01-12 21:01:27,388.85
"89",2010-01-12 21:01:28,446.6
"90",2010-01-12 21:01:29,-51.15
"91",2010-01-12 21:01:30,193.15
"92",2010-01-12 21:01:31,516.2
"93",2010-01-12 21:01:32,635.7
"94",2010-01-12 21:01:33,556.6
"95",2010-01-12 21:01:34,-69.25
"96",2010-01-12 21:01:35,665.2
"97",2010-01-12 21:01:36,1123.8
"98",2010-01-12 21:01:37,-111.8
"99",2010-01-12 21:01:38,498.842105263158
