"","DateTime","PR.HUMP..BHZ.M"
"1",2010-01-12 21:00:00,-1549.8
"2",2010-01-12 21:00:01,-1701.4
"3",2010-01-12 21:00:02,-2073.25
"4",2010-01-12 21:00:03,-1944.15
"5",2010-01-12 21:00:04,-1593.8
"6",2010-01-12 21:00:05,-1658.25
"7",2010-01-12 21:00:06,-1859.35
"8",2010-01-12 21:00:07,-1925.05
"9",2010-01-12 21:00:08,-1939.25
"10",2010-01-12 21:00:09,-1681.2
"11",2010-01-12 21:00:10,-1585.6
"12",2010-01-12 21:00:11,-2052.45
"13",2010-01-12 21:00:12,-1968
"14",2010-01-12 21:00:13,-1614.95
"15",2010-01-12 21:00:14,-1544.25
"16",2010-01-12 21:00:15,-2011.55
"17",2010-01-12 21:00:16,-1917.5
"18",2010-01-12 21:00:17,-1573.25
"19",2010-01-12 21:00:18,-1872.85
"20",2010-01-12 21:00:19,-2148.95
"21",2010-01-12 21:00:20,-1818.3
"22",2010-01-12 21:00:21,-1314.95
"23",2010-01-12 21:00:22,-1771.45
"24",2010-01-12 21:00:23,-2342.45
"25",2010-01-12 21:00:24,-1705.55
"26",2010-01-12 21:00:25,-1437.25
"27",2010-01-12 21:00:26,-1906.45
"28",2010-01-12 21:00:27,-2212.7
"29",2010-01-12 21:00:28,-1683.85
"30",2010-01-12 21:00:29,-1421.15
"31",2010-01-12 21:00:30,-1675.15
"32",2010-01-12 21:00:31,-2163.55
"33",2010-01-12 21:00:32,-1937.3
"34",2010-01-12 21:00:33,-1859.05
"35",2010-01-12 21:00:34,-1577.4
"36",2010-01-12 21:00:35,-1579.05
"37",2010-01-12 21:00:36,-2125.95
"38",2010-01-12 21:00:37,-2033
"39",2010-01-12 21:00:38,-1469.75
"40",2010-01-12 21:00:39,-1702.45
"41",2010-01-12 21:00:40,-2007.7
"42",2010-01-12 21:00:41,-2075.7
"43",2010-01-12 21:00:42,-1502
"44",2010-01-12 21:00:43,-1723.8
"45",2010-01-12 21:00:44,-1983.5
"46",2010-01-12 21:00:45,-1917.45
"47",2010-01-12 21:00:46,-1648.9
"48",2010-01-12 21:00:47,-1650.8
"49",2010-01-12 21:00:48,-1942.65
"50",2010-01-12 21:00:49,-2158.85
"51",2010-01-12 21:00:50,-1805.2
"52",2010-01-12 21:00:51,-1351.8
"53",2010-01-12 21:00:52,-1771.9
"54",2010-01-12 21:00:53,-2173.3
"55",2010-01-12 21:00:54,-1943.15
"56",2010-01-12 21:00:55,-1566.8
"57",2010-01-12 21:00:56,-1765.3
"58",2010-01-12 21:00:57,-1954.8
"59",2010-01-12 21:00:58,-2000.8
"60",2010-01-12 21:00:59,-1682.65
"61",2010-01-12 21:01:00,-1528.3
"62",2010-01-12 21:01:01,-1916.1
"63",2010-01-12 21:01:02,-2006.4
"64",2010-01-12 21:01:03,-2043.85
"65",2010-01-12 21:01:04,-1568.55
"66",2010-01-12 21:01:05,-1555.9
"67",2010-01-12 21:01:06,-2071
"68",2010-01-12 21:01:07,-1883.5
"69",2010-01-12 21:01:08,-1666.15
"70",2010-01-12 21:01:09,-1854.1
"71",2010-01-12 21:01:10,-1838
"72",2010-01-12 21:01:11,-1914.8
"73",2010-01-12 21:01:12,-2058.05
"74",2010-01-12 21:01:13,-1533.65
"75",2010-01-12 21:01:14,-1678.85
"76",2010-01-12 21:01:15,-1915.55
"77",2010-01-12 21:01:16,-1844.25
"78",2010-01-12 21:01:17,-2066.35
"79",2010-01-12 21:01:18,-1755.15
"80",2010-01-12 21:01:19,-1509.75
"81",2010-01-12 21:01:20,-1900.45
"82",2010-01-12 21:01:21,-2060.15
"83",2010-01-12 21:01:22,-1773.85
"84",2010-01-12 21:01:23,-1581.15
"85",2010-01-12 21:01:24,-1913.15
"86",2010-01-12 21:01:25,-2113.35
"87",2010-01-12 21:01:26,-1665.35
"88",2010-01-12 21:01:27,-1669.55
"89",2010-01-12 21:01:28,-1826.05
"90",2010-01-12 21:01:29,-1920.95
"91",2010-01-12 21:01:30,-1804.6
"92",2010-01-12 21:01:31,-1789.15
"93",2010-01-12 21:01:32,-1843
"94",2010-01-12 21:01:33,-1810.7
"95",2010-01-12 21:01:34,-1878.8
"96",2010-01-12 21:01:35,-1940.4
"97",2010-01-12 21:01:36,-1720.7
"98",2010-01-12 21:01:37,-1731.65
"99",2010-01-12 21:01:38,-1680.7
"100",2010-01-12 21:01:39,-2051.65
"101",2010-01-12 21:01:40,-1831.25
"102",2010-01-12 21:01:41,-1854.7
"103",2010-01-12 21:01:42,-1684.35
"104",2010-01-12 21:01:43,-1782.9
"105",2010-01-12 21:01:44,-1991.25
"106",2010-01-12 21:01:45,-1865
"107",2010-01-12 21:01:46,-1640.75
"108",2010-01-12 21:01:47,-1519
"109",2010-01-12 21:01:48,-2115.9
"110",2010-01-12 21:01:49,-2183.21052631579
