"","DateTime","PR.PCDR..BHZ.M"
"1",2010-01-12 21:00:00,654.915
"2",2010-01-12 21:00:10,551.595
"3",2010-01-12 21:00:20,589.57
"4",2010-01-12 21:00:30,623.9
"5",2010-01-12 21:00:40,639.565
"6",2010-01-12 21:00:50,636.755
"7",2010-01-12 21:01:00,583.545
"8",2010-01-12 21:01:10,547.475
"9",2010-01-12 21:01:20,578.22
"10",2010-01-12 21:01:30,692.955
"11",2010-01-12 21:01:40,588.54
"12",2010-01-12 21:01:50,614.48
"13",2010-01-12 21:02:00,603.925
"14",2010-01-12 21:02:10,598.46
"15",2010-01-12 21:02:20,601.115
"16",2010-01-12 21:02:30,649.975
"17",2010-01-12 21:02:40,610.23
"18",2010-01-12 21:02:50,612.96
"19",2010-01-12 21:03:00,543.89
"20",2010-01-12 21:03:10,630.93
"21",2010-01-12 21:03:20,653.1
"22",2010-01-12 21:03:30,593.46
"23",2010-01-12 21:03:40,625.2
"24",2010-01-12 21:03:50,596.315
"25",2010-01-12 21:04:00,511.89
"26",2010-01-12 21:04:10,654.28
"27",2010-01-12 21:04:20,671.265
"28",2010-01-12 21:04:30,614.62
"29",2010-01-12 21:04:40,581.51
"30",2010-01-12 21:04:50,546.515
"31",2010-01-12 21:05:00,685.135
"32",2010-01-12 21:05:10,625.955
"33",2010-01-12 21:05:20,668.645
"34",2010-01-12 21:05:30,543.53
"35",2010-01-12 21:05:40,562.03
"36",2010-01-12 21:05:50,585.135
"37",2010-01-12 21:06:00,595.715
"38",2010-01-12 21:06:10,613.6
"39",2010-01-12 21:06:20,638.205
"40",2010-01-12 21:06:30,574.035
"41",2010-01-12 21:06:40,542.985
"42",2010-01-12 21:06:50,672.665
"43",2010-01-12 21:07:00,541.07
"44",2010-01-12 21:07:10,637.115
"45",2010-01-12 21:07:20,585.725
"46",2010-01-12 21:07:30,613.115
"47",2010-01-12 21:07:40,651.7
"48",2010-01-12 21:07:50,590.105
"49",2010-01-12 21:08:00,561.11
"50",2010-01-12 21:08:10,593.78
"51",2010-01-12 21:08:20,591.86
"52",2010-01-12 21:08:30,592.72
"53",2010-01-12 21:08:40,644.38
"54",2010-01-12 21:08:50,552.235
"55",2010-01-12 21:09:00,633.19
"56",2010-01-12 21:09:10,617.475
"57",2010-01-12 21:09:20,574.155
"58",2010-01-12 21:09:30,668.58
"59",2010-01-12 21:09:40,674.185
"60",2010-01-12 21:09:50,587
"61",2010-01-12 21:10:00,528.939393939394
